#Date,Time,INV,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Temp,INV,Status,SolIrr,TmpMod,TmpAmb,Wind,DaySumIrr
26/3/2020,00:00:00,1,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0
26/3/2020,00:05:00,1,0,0,1,0,1,8,244,244,24,2,0,0,22,0,0,0
26/3/2020,00:10:00,1,0,0,1,0,2,13,367,366,32,2,0,2,22,0,0,0
26/3/2020,00:15:00,1,0,0,1,0,2,14,386,386,32,2,0,5,22,0,0,0
26/3/2020,00:20:00,1,21,7,6,0,4,31,385,385,32,2,0,10,22,0,0,1
26/3/2020,00:25:00,1,137,23,6,0,13,134,344,344,33,2,0,15,22,0,0,2
26/3/2020,00:30:00,1,189,43,6,0,1,201,353,353,34,2,0,22,22,0,0,4
26/3/2020,00:35:00,1,239,67,6,0,5,249,358,358,34,2,0,29,23,0,0,6
26/3/2020,00:40:00,1,294,96,6,0,11,301,362,362,35,2,0,36,23,0,0,9
26/3/2020,00:45:00,1,353,129,6,0,24,350,371,370,35,2,0,43,23,0,0,13
26/3/2020,00:50:00,1,445,169,6,0,63,407,372,372,35,2,0,50,23,0,0,17
26/3/2020,00:55:00,1,630,224,6,0,169,498,384,384,36,2,0,57,23,0,0,22
26/3/2020,01:00:00,1,774,294,6,0,260,559,383,383,36,2,0,68,23,0,0,28
26/3/2020,01:05:00,1,992,382,6,0,421,626,383,383,37,2,0,87,24,0,0,35
26/3/2020,01:10:00,1,1144,482,6,0,511,686,384,384,37,2,0,98,24,0,0,43
26/3/2020,01:15:00,1,1271,594,6,0,613,724,385,385,37,2,0,108,25,0,0,52
26/3/2020,01:20:00,1,1435,718,6,0,693,797,383,383,38,2,0,120,26,0,0,62
26/3/2020,01:25:00,1,1623,858,6,0,790,893,383,383,38,2,0,135,28,0,0,73
26/3/2020,01:30:00,1,1801,1013,6,0,881,986,382,382,39,2,0,151,29,0,0,86
26/3/2020,01:35:00,1,2019,1185,6,0,985,1089,382,381,39,2,0,167,30,0,0,99
26/3/2020,01:40:00,1,2166,1372,6,0,1073,1177,381,380,40,2,0,184,31,0,0,114
26/3/2020,01:45:00,1,2391,1576,6,0,1176,1279,380,380,40,2,0,201,33,0,0,130
26/3/2020,01:50:00,1,2493,1794,6,0,1258,1359,380,379,41,2,0,218,34,0,0,148
26/3/2020,01:55:00,1,2792,2031,6,0,1380,1483,379,379,41,2,0,240,35,0,0,167
26/3/2020,02:00:00,1,2982,2282,6,0,1472,1576,378,378,42,2,0,257,36,0,0,188
26/3/2020,02:05:00,1,3209,2550,6,0,1573,1681,378,378,42,2,0,277,37,0,0,210
26/3/2020,02:10:00,1,3375,2834,6,0,1664,1772,377,376,42,2,0,294,38,0,0,233
26/3/2020,02:15:00,1,3560,3133,6,0,1765,1871,376,375,43,2,0,314,39,0,0,258
26/3/2020,02:20:00,1,3687,3446,6,0,1844,1950,374,374,43,2,0,331,40,0,0,284
26/3/2020,02:25:00,1,3897,3773,6,0,1940,2041,373,373,44,2,0,350,41,0,0,312
26/3/2020,02:30:00,1,4187,4123,6,0,2080,2187,372,372,44,2,0,378,42,0,0,341
26/3/2020,02:35:00,1,4544,4503,6,0,2262,2366,371,371,45,2,0,413,43,0,0,374
26/3/2020,02:40:00,1,4584,4887,6,0,2280,2383,370,370,45,2,0,421,45,0,0,406
26/3/2020,02:45:00,1,4819,5293,6,0,2402,2504,369,369,45,2,0,438,45,0,0,440
26/3/2020,02:50:00,1,3908,5627,6,0,1965,2063,368,367,45,2,0,371,45,0,0,469
26/3/2020,02:55:00,1,2841,5872,6,0,1416,1524,367,367,45,2,0,303,44,0,0,493
26/3/2020,03:00:00,1,4570,6259,6,0,2280,2386,373,372,45,2,0,436,43,0,0,527
26/3/2020,03:05:00,1,4622,6675,6,0,2300,2410,370,370,46,2,0,440,45,0,0,541
26/3/2020,03:10:00,1,2826,7098,6,0,1420,1524,366,366,45,2,0,307,44,0,0,584
26/3/2020,03:15:00,1,5922,7440,6,0,2954,3055,369,369,46,2,0,556,46,0,0,615
26/3/2020,03:20:00,1,3739,7763,6,0,1864,1969,364,364,46,2,0,387,47,0,0,645
26/3/2020,03:25:00,1,6102,8272,6,0,3044,3149,368,368,46,2,0,586,47,0,0,690
26/3/2020,03:30:00,1,6100,8779,6,0,3042,3151,365,365,47,2,0,594,49,0,0,736
26/3/2020,03:35:00,1,6264,9300,6,0,3135,3241,364,364,48,2,0,612,50,0,0,783
26/3/2020,03:40:00,1,5223,9739,6,0,2616,2723,364,364,47,2,0,526,49,0,0,823
26/3/2020,03:45:00,1,6511,10281,6,0,3250,3360,363,363,48,2,0,646,49,0,0,873
26/3/2020,03:50:00,1,6595,10831,6,0,3297,3405,360,360,49,2,0,665,51,0,0,923
26/3/2020,03:55:00,1,6623,11381,6,0,3325,3431,359,359,49,2,0,669,52,0,0,974
26/3/2020,04:00:00,1,5359,11834,6,0,2701,2805,360,360,49,2,0,566,52,0,0,1017
26/3/2020,04:05:00,1,6403,12355,6,0,3200,3308,360,360,49,2,0,656,52,0,0,1067
26/3/2020,04:10:00,1,7101,12946,6,0,3569,3678,360,359,50,2,0,729,52,0,0,1122
26/3/2020,04:15:00,1,7199,13546,6,0,3613,3719,358,357,50,2,0,748,53,0,0,1179
26/3/2020,04:20:00,1,7233,14148,6,0,3629,3740,357,356,51,2,0,756,54,0,0,1236
26/3/2020,04:25:00,1,7368,14763,6,0,3702,3814,355,355,51,2,0,779,55,0,0,1294
26/3/2020,04:30:00,1,7435,15382,6,0,3741,3847,354,353,51,2,0,791,56,0,0,1354
26/3/2020,04:35:00,1,7594,16014,6,0,3814,3921,354,354,52,2,0,808,57,0,0,1414
26/3/2020,04:40:00,1,7712,16656,6,0,3879,3988,355,355,52,2,0,820,56,0,0,1476
26/3/2020,04:45:00,1,7735,17301,6,0,3895,4004,353,353,53,2,0,829,57,0,0,1538
26/3/2020,04:50:00,1,7811,17951,6,0,3943,4052,352,352,53,2,0,842,57,0,0,1601
26/3/2020,04:55:00,1,7907,18610,6,0,3974,4080,352,352,53,2,0,852,58,0,0,1664
26/3/2020,05:00:00,1,7939,19271,6,0,3997,4105,350,350,53,2,0,861,58,0,0,1729
26/3/2020,05:05:00,1,7975,19936,6,0,4022,4134,348,348,54,2,0,873,59,0,0,1793
26/3/2020,05:10:00,1,8067,20608,6,0,4068,4175,349,349,54,2,0,883,60,0,0,1859
26/3/2020,05:15:00,1,7969,21272,6,0,4018,4126,346,346,54,2,0,878,61,0,0,1924
26/3/2020,05:20:00,1,8102,21947,6,0,4092,4197,345,345,54,2,0,897,62,0,0,1990
26/3/2020,05:25:00,1,8266,22635,6,0,4184,4289,345,345,55,2,0,920,62,0,0,2058
26/3/2020,05:30:00,1,8270,23325,6,0,4168,4283,346,345,55,2,0,918,63,0,0,2125
26/3/2020,05:35:00,1,8297,23992,6,0,4192,4307,344,344,55,2,0,926,62,0,0,2193
26/3/2020,05:40:00,1,8404,24692,6,0,4249,4356,344,344,55,2,0,939,63,0,0,2262
